"line","start_x","start_y","end_x","end_y","pm25","start_station","end_station"
"Circle",530254,179683,530407,180372,85.6383333333332,"Westminster","Embankment"
"Circle",530997,180802,530407,180372,63.6383333333333,"Temple","Embankment"
"Circle",530997,180802,531696,180878,87.6383333333333,"Temple","Blackfriars"
"Circle",531569,181871,530237,182944,82.2287499999998,"Farringdon","King's Cross St. Pancras"
"Circle",531569,181871,532080,181851,65.6383333333333,"Farringdon","Barbican"
"Circle",531696,180878,532348,180954,52.6383333333333,"Blackfriars","Mansion House"
"Circle",532348,180954,532592,180895,75.6383333333333,"Mansion House","Cannon Street"
"Circle",532592,180895,532708,181111,63.6383333333333,"Cannon Street","Monument"
"Circle",532689,181669,532080,181851,38.9716666666666,"Moorgate","Barbican"
"Circle",532689,181669,533111,181567,32.305,"Moorgate","Liverpool Street"
"Circle",533591,180769,532708,181111,62.1383333333332,"Tower Hill","Monument"
"Circle",533630,181238,533111,181567,63.6383333333333,"Aldgate","Liverpool Street"
"Circle",533630,181238,533591,180769,29.6383333333333,"Aldgate","Tower Hill"
"District",517955,180922,518886,180410,7.63333333333333,"Ealing Broadway","Ealing Common"
"District",518886,180410,519461,179603,2.71666666666667,"Ealing Common","Acton Town"
"District",520351,178684,519461,179603,2.21666666666667,"Chiswick Park","Acton Town"
"District",521267,178796,520351,178684,1.8,"Turnham Green","Chiswick Park"
"District",521267,178796,521898,178776,2.63333333333333,"Turnham Green","Stamford Brook"
"District",522538,178718,521898,178776,2.63333333333333,"Ravenscourt Park","Stamford Brook"
"District",523504,178567,522538,178718,4.63333333333333,"Hammersmith","Ravenscourt Park"
"District",524121,178314,523504,178567,12.6333333333333,"Barons Court","Hammersmith"
"District",524615,178363,525509,178531,21.9666666666666,"West Kensington","Earl's Court"
"District",525509,178531,526235,178820,4.63333333333333,"Earl's Court","Gloucester Road"
"District",526865,178809,526235,178820,27.6333333333333,"South Kensington","Gloucester Road"
"District",528080,178649,526865,178809,69.6333333333332,"Sloane Square","South Kensington"
"District",528080,178649,528946,179122,76.6333333333332,"Sloane Square","Victoria"
"District",529609,179473,528946,179122,112.633333333333,"St. James's Park","Victoria"
"District",529609,179473,530254,179683,132.633333333333,"St. James's Park","Westminster"
"District",530254,179683,530407,180372,154.633333333333,"Westminster","Embankment"
"District",530997,180802,530407,180372,98.6333333333333,"Temple","Embankment"
"District",531696,180878,530997,180802,95.6333333333332,"Blackfriars","Temple"
"District",532592,180895,532348,180954,119.633333333333,"Cannon Street","Mansion House"
"District",532708,181111,532592,180895,100.633333333333,"Monument","Cannon Street"
"District",532708,181111,533591,180769,112.633333333333,"Monument","Tower Hill"
"District",533591,180769,533858,181351,98.6333333333332,"Tower Hill","Aldgate East"
"District",533858,181351,534699,181843,124.633333333333,"Aldgate East","Whitechapel"
"District",534699,181843,535630,182141,121.633333333333,"Whitechapel","Stepney Green"
"District",535630,182141,536526,182519,156.633333333333,"Stepney Green","Mile End"
"District",536526,182519,537117,182725,178.633333333333,"Mile End","Bow Road"
"District",538036,182524,537117,182725,69.6333333333332,"Bromley-by-Bow","Bow Road"
"District",538036,182524,539184,182935,53.925,"Bromley-by-Bow","West Ham"
"District",540060,183297,539184,182935,31.2166666666666,"Plaistow","West Ham"
"District",541259,183777,540060,183297,12.6333333333333,"Upton Park","Plaistow"
"District",541259,183777,542371,184219,16.6333333333333,"Upton Park","East Ham"
"District",542371,184219,544407,184335,10.8833333333333,"East Ham","Barking"
"District",544407,184335,545847,184252,13.9666666666666,"Barking","Upney"
"District",545847,184252,547632,184521,7.96666666666665,"Upney","Becontree"
"District",547632,184521,549034,184711,10.6333333333333,"Becontree","Dagenham Heathway"
"District",550287,185025,549034,184711,17.3,"Dagenham East","Dagenham Heathway"
"District",552577,185726,550287,185025,9.02222222222221,"Elm Park","Dagenham East"
"District",553939,186235,552577,185726,8.63333333333332,"Hornchurch","Elm Park"
"District",555084,186798,553939,186235,9.63333333333332,"Upminster Bridge","Hornchurch"
"District",556145,186846,555084,186798,10.6333333333333,"Upminster","Upminster Bridge"
"Docklands Light Railway",534937,180934,532710,181106,51.0841666666667,"Shadwell","Bank"
"Docklands Light Railway",536126,181107,534937,180934,15.0841666666667,"Limehouse","Shadwell"
"Docklands Light Railway",536126,181107,537101,180792,7.41750000000001,"Limehouse","Westferry"
"Docklands Light Railway",537101,180792,537702,180592,10.0841666666667,"Westferry","Poplar"
"Docklands Light Railway",537402,182792,537902,183592,10.0841666666667,"Bow Church","Pudding Mill Lane"
