name,line,order,section,x,y
Waterloo,Bakerloo,3,1,530993,179971
Waterloo,Jubilee,18,1,530993,179971
Waterloo,Northern,2,3,530993,179971
Waterloo,Waterloo & City,1,1,530993,179971
Barons Court,District,3,3,524121,178314
Barons Court,Piccadilly,25,1,524121,178314
Victoria,District,29,1,528946,179122
Victoria,Victoria,5,1,528946,179122
Canada Water,Jubilee,22,1,535476,179464
Embankment,Bakerloo,4,1,530407,180372
Embankment,District,26,1,530407,180372
Embankment,Northern,3,3,530407,180372
Goldhawk Road,Hammersmith & City,2,1,523177,179603
Hammersmith,District,4,3,523504,178567
Hammersmith,Hammersmith & City,1,1,523504,178567
Hammersmith,Piccadilly,26,1,523504,178567
Pimlico,Victoria,4,1,529668,178345
Ravenscourt Park,District,5,3,522538,178718
Stamford Brook,District,6,3,521898,178776
Temple,District,25,1,530997,180802
Turnham Green,District,7,3,521267,178796
Turnham Green,District,1,4,521267,178796
Turnham Green,District,1,5,521267,178796
West Kensington,District,2,3,524615,178363
Shepherd's Bush,Central,19,4,523198,180005
Shepherd's Bush Market,Circle,8,2,523198,180005
Shepherd's Bush Market,Hammersmith & City,3,1,523198,180005
Sloane Square,District,30,1,528080,178649
Stockwell,Northern,10,1,530469,176471
Stockwell,Victoria,2,1,530469,176471
Westminster,District,27,1,530254,179683
Westminster,Jubilee,17,1,530254,179683
Gloucester Road,District,32,1,526235,178820
Gloucester Road,Piccadilly,23,1,526235,178820
South Kensington,District,31,1,526865,178809
South Kensington,Piccadilly,22,1,526865,178809
West Brompton,District,2,2,525383,178022
White City,Central,20,4,523323,180722
Blackfriars,District,24,1,531696,180878
Earl's Court,District,33,1,525509,178531
Earl's Court,District,1,6,525509,178531
Earl's Court,District,1,7,525509,178531
Earl's Court,District,1,2,525509,178531
Earl's Court,District,1,3,525509,178531
Earl's Court,Piccadilly,24,1,525509,178531
Kew Gardens,District,3,4,519181,176735
Latimer Road,Hammersmith & City,5,1,523768,180907
Barking,District,9,1,544407,184335
Knightsbridge,Piccadilly,21,1,527775,179672
Plaistow,District,12,1,540060,183297
Chiswick Park,District,2,5,520351,178684
Custom House,Docklands Light Railway,3,7,540812,180906
Dagenham East,District,5,1,550287,185025
Gunnersbury,District,2,4,519842,178393
Stepney Green,District,17,1,535630,182141
Becontree,District,7,1,547632,184521
Cannon Street,District,22,1,532592,180895
Cutty Sark,Docklands Light Railway,9,5,538222,177736
Dagenham Heathway,District,6,1,549034,184711
East Ham,District,10,1,542371,184219
Farringdon,Metropolitan,5,1,531569,181871
Seven Sisters,Victoria,13,1,533644,188926
Tottenham Hale,Victoria,14,1,534476,189470
Upton Park,District,11,1,541259,183777
Blackhorse Road,Victoria,15,1,535816,189384
Bow Road,District,15,1,537117,182725
Charing Cross,Bakerloo,5,1,530237,180518
Charing Cross,Northern,4,3,530237,180518
Colliers Wood,Northern,3,1,526813,170359
East Acton,Central,21,4,521697,181195
Mile End,Central,4,4,536526,182519
Mile End,District,16,1,536526,182519
Mile End,Hammersmith & City,22,1,536526,182519
Redbridge,Central,10,2,541835,188364
Upney,District,8,1,545847,184252
Whitechapel,District,18,1,534699,181843
Clapham North,Northern,9,1,530030,175645
High Street Kensington,District,2,7,525557,179519
Aldgate East,District,19,1,533858,181351
Aldgate East,Hammersmith & City,19,1,533858,181351
Bank,Central,7,4,532710,181106
Bank,Northern,5,2,532710,181106
Bank,Waterloo & City,2,1,532710,181106
Bethnal Green,Central,5,4,534992,182712
Brixton,Victoria,1,1,531071,175420
Holland Park,Central,18,4,524621,180237
Ladbroke Grove,Hammersmith & City,6,1,524238,181324
Liverpool Street,Central,6,4,533111,181567
Liverpool Street,Metropolitan,2,1,533111,181567
Mansion House,District,23,1,532348,180954
Moorgate,Metropolitan,3,1,532689,181669
Moorgate,Northern,6,2,532689,181669
South Wimbledon,Northern,2,1,525828,170024
Tower Hill,District,20,1,533591,180769
Monument,Circle,27,1,532708,181111
Monument,District,21,1,532708,181111
Bromley-by-Bow,District,14,1,538036,182524
Leyton,Central,2,4,538359,186057
Upminster Bridge,District,2,1,555084,186798
Aldgate,Circle,2,1,533630,181238
Aldgate,Metropolitan,1,1,533630,181238
Hyde Park Corner,Piccadilly,20,1,528310,179820
Tooting Broadway,Northern,4,1,527463,171417
East Putney,District,6,2,524387,174832
King's Cross St. Pancras,Metropolitan,6,1,530237,182944
King's Cross St. Pancras,Northern,9,2,530237,182944
King's Cross St. Pancras,Piccadilly,13,1,530237,182944
King's Cross St. Pancras,Victoria,10,1,530237,182944
Old Street,Northern,7,2,532769,182476
St. Paul's,Central,8,4,532105,181257
Barbican,Metropolitan,4,1,532080,181851
Elm Park,District,4,1,552577,185726
Green Park,Jubilee,16,1,528981,180292
Green Park,Piccadilly,19,1,528981,180292
Green Park,Victoria,6,1,528981,180292
Lancaster Gate,Central,15,4,526711,180788
Morden,Northern,1,1,525668,168580
Newbury Park,Central,8,2,544950,188371
Piccadilly Circus,Bakerloo,6,1,529591,180661
Piccadilly Circus,Piccadilly,18,1,529591,180661
Chancery Lane,Central,9,4,531117,181601
Hounslow Central,Piccadilly,7,2,513525,175944
Hounslow East,Piccadilly,6,2,514230,176192
Leicester Square,Northern,5,3,529988,180804
Leicester Square,Piccadilly,17,1,529988,180804
Perivale,Central,3,6,516349,183297
Acton Town,District,3,5,519461,179603
Acton Town,Piccadilly,28,1,519461,179603
Acton Town,Piccadilly,1,2,519461,179603
Acton Town,Piccadilly,1,6,519461,179603
Clapham Common,Northern,8,1,529428,175283
Turnpike Lane,Piccadilly,7,1,531525,189643
Bond Street,Central,13,4,528516,181054
Bond Street,Jubilee,15,1,528516,181054
Greenford,Central,4,6,514768,183896
Hatton Cross,Piccadilly,9,2,509612,175361
Hatton Cross,Piccadilly,1,3,509612,175361
Hatton Cross,Piccadilly,3,4,509612,175361
Snaresbrook,Central,3,3,540163,188821
Covent Garden,Piccadilly,16,1,530266,180999
Heathrow Terminal 4,Piccadilly,2,4,508058,174431
"Heathrow Terminals 1, 2, 3",Piccadilly,2,3,507585,175830
"Heathrow Terminals 1, 2, 3",Piccadilly,1,4,507585,175830
"Heathrow Terminals 1, 2, 3",Piccadilly,1,5,507585,175830
Holborn,Central,10,4,530541,181510
Holborn,Piccadilly,15,1,530541,181510
Hounslow West,Piccadilly,8,2,512213,176132
Russell Square,Piccadilly,14,1,530227,182111
Southfields,District,7,2,524735,173296
Wimbledon,District,9,2,524810,170678
Wimbledon Park,District,8,2,525246,172144
Leytonstone,Central,12,2,539282,187390
Leytonstone,Central,4,3,539282,187390
Leytonstone,Central,1,4,539282,187390
Hornchurch,District,3,1,553939,186235
Mornington Crescent,Northern,2,4,529187,183342
Northfields,Piccadilly,3,2,517117,179162
South Ealing,Piccadilly,2,2,517607,179406
Stonebridge Park,Bakerloo,20,1,519690,184190
Walthamstow Central,Victoria,16,1,537288,188979
Arsenal,Piccadilly,10,1,531411,186102
Barkingside,Central,7,2,544791,189503
Bayswater,District,4,7,525835,180812
Boston Manor,Piccadilly,4,2,516390,178747
Euston,Northern,10,2,529588,182727
Euston,Northern,9,3,529588,182727
Euston,Northern,1,4,529588,182727
Euston,Northern,1,5,529588,182727
Euston,Victoria,9,1,529588,182727
Euston Square,Hammersmith & City,13,1,529420,182385
Euston Square,Metropolitan,7,1,529420,182385
Gants Hill,Central,9,2,543268,188425
Paddington,Bakerloo,12,1,526704,181176
Paddington,District,5,7,526704,181176
Paddington,Hammersmith & City,9,1,526704,181176
Tottenham Court Road,Central,11,4,529791,181354
Tottenham Court Road,Northern,6,3,529791,181354
Wood Green,Piccadilly,6,1,531031,190429
Balham,Northern,6,1,528445,173210
Baker Street,Bakerloo,9,1,527965,182070
Baker Street,Hammersmith & City,11,1,527965,182070
Baker Street,Jubilee,14,1,527965,182070
Baker Street,Metropolitan,9,1,527965,182070
Camden Town,Northern,3,4,528903,183913
Camden Town,Northern,2,5,528903,183913
Camden Town,Northern,1,6,528903,183913
Camden Town,Northern,1,9,528903,183913
Goodge Street,Northern,7,3,529516,181816
Kilburn Park,Bakerloo,15,1,525361,183342
Loughton,Central,4,1,542316,195635
Marble Arch,Central,14,4,527885,181009
Oxford Circus,Bakerloo,7,1,529038,181214
Oxford Circus,Central,12,4,529038,181214
Oxford Circus,Victoria,7,1,529038,181214
Queensway,Central,16,4,525882,180607
Royal Oak,Hammersmith & City,8,1,525803,181566
Warren Street,Northern,8,3,529254,182264
Warren Street,Victoria,8,1,529254,182264
Warwick Avenue,Bakerloo,13,1,526107,182047
Clapham South,Northern,7,1,528782,174251
Notting Hill Gate,Central,17,4,525254,180445
Notting Hill Gate,Circle,14,1,525254,180445
Regent's Park,Bakerloo,8,1,528661,182137
South Woodford,Central,2,3,540533,190044
Tooting Bec,Northern,5,1,528015,172357
Upminster,District,1,1,556145,186846
Westbourne Park,Hammersmith & City,7,1,524920,181756
Ealing Common,District,4,5,518886,180410
Great Portland Street,Metropolitan,8,1,528862,182166
Holloway Road,Piccadilly,11,1,530931,185450
Marylebone,Bakerloo,10,1,527537,181966
Wanstead,Central,11,2,540682,188245
Edgware Road Circle,Circle,11,1,527227,181702
Edgware Road Circle,Circle,1,2,527227,181702
Edgware Road Circle,District,6,7,527227,181702
Edgware Road Circle,Hammersmith & City,10,1,527227,181702
Fairlop,Central,6,2,544927,190608
Osterley,Piccadilly,5,2,514537,177062
Maida Vale,Bakerloo,14,1,525954,182766
Roding Valley,Central,2,2,541600,192899
Chalk Farm,Northern,2,9,528127,184414
Edgware Road Bakerloo,Bakerloo,11,1,527055,181727
Finsbury Park,Piccadilly,9,1,531342,186757
Finsbury Park,Victoria,12,1,531342,186757
Woodford,Central,6,1,540951,191759
Woodford,Central,1,2,540951,191759
Woodford,Central,1,3,540951,191759
Alperton,Piccadilly,5,6,518028,183792
Ealing Broadway,Central,3,5,517955,180922
Ealing Broadway,District,5,5,517955,180922
North Acton,Central,22,4,520831,181930
North Acton,Central,1,5,520831,181930
North Acton,Central,1,6,520831,181930
West Acton,Central,2,5,519370,181283
Angel,Northern,8,2,531484,183210
Highbury & Islington,Victoria,11,1,531571,184741
Caledonian Road,Piccadilly,12,1,530570,184959
Hainault,Central,5,2,545053,191507
Hillingdon,Metropolitan,8,2,507565,185008
Hillingdon,Piccadilly,14,6,507565,185008
North Ealing,Piccadilly,3,6,518815,181236
Cyprus,Docklands Light Railway,7,7,543302,180892
Debden,Central,3,1,544278,196127
Deptford Bridge,Docklands Light Railway,11,5,537501,176892
Dollis Hill,Jubilee,7,1,522207,185138
Kentish Town,Northern,2,6,529029,185129
Ruislip Gardens,Central,7,6,510245,185830
South Ruislip,Central,6,6,511113,185396
Harlesden,Bakerloo,19,1,520952,183360
Manor House,Piccadilly,8,1,532072,187483
Neasden,Jubilee,6,1,521440,185349
Queen's Park,Bakerloo,16,1,524619,183216
Buckhurst Hill,Central,5,1,541770,193950
Hanger Lane,Central,2,6,518505,182614
Uxbridge,Metropolitan,9,2,505626,184164
Willesden Junction,Bakerloo,18,1,521879,182937
Wembley Park,Jubilee,5,1,519373,186334
Kensal Green,Bakerloo,17,1,523241,182777
Arnos Grove,Piccadilly,4,1,529323,192485
Ickenham,Metropolitan,7,2,508093,185939
Kingsbury,Jubilee,4,1,519348,188725
Northolt,Central,5,6,513227,184512
South Kenton,Bakerloo,23,1,517321,187055
Chigwell,Central,3,2,543721,193043
Ruislip Manor,Metropolitan,5,2,510124,187229
Tufnell Park,Northern,3,6,529187,185841
Kilburn,Jubilee,9,1,524589,184637
Preston Road,Metropolitan,12,1,518240,187284
Wembley Central,Bakerloo,21,1,518180,185090
Ruislip,Metropolitan,6,2,509496,187022
Bounds Green,Piccadilly,5,1,529993,191472
Park Royal,Piccadilly,4,6,519122,182283
Brent Cross,Northern,6,9,523896,187949
North Wembley,Bakerloo,22,1,517648,186208
Queensbury,Jubilee,3,1,518839,189781
Sudbury Town,Piccadilly,6,6,516893,184888
Colindale,Northern,8,9,521305,189944
St. John's Wood,Jubilee,13,1,526735,183320
Burnt Oak,Northern,9,9,520312,190743
North Harrow,Metropolitan,2,3,513568,188597
West Ruislip,Central,8,6,508362,186784
