segment,start_station,end_station,line_proximity,line,pm1,pm25,pm5,pm10,filter_line,filter_ds,pm25_fraction,pm1_fraction
B S ,Brixton,Stockwell,0,Victoria,0.107,0.139,0.148,0.161,3,1,0.8633540373,0.6645962733
B S ,Brixton,Stockwell,0,Victoria,0.072,0.094,0.101,0.11,3,1,0.8545454545,0.6545454545
B S ,Brixton,Stockwell,0,Victoria,0.057,0.074,0.079,0.085,3,1,0.8705882353,0.6705882353
B S ,Brixton,Stockwell,0,Victoria,0.049,0.062,0.067,0.071,3,1,0.8732394366,0.6901408451
B S ,Brixton,Stockwell,0,Victoria,0.046,0.058,0.063,0.066,3,1,0.8787878788,0.696969697
B S ,Brixton,Stockwell,0,Victoria,0.051,0.064,0.069,0.076,3,1,0.8421052632,0.6710526316
B S ,Brixton,Stockwell,0,Victoria,0.045,0.057,0.062,0.067,3,1,0.8507462687,0.671641791
B S ,Brixton,Stockwell,0,Victoria,0.043,0.055,0.059,0.06,3,1,0.9166666667,0.7166666667
B S ,Brixton,Stockwell,0,Victoria,0.053,0.067,0.071,0.074,3,1,0.9054054054,0.7162162162
B S ,Brixton,Stockwell,0,Victoria,0.054,0.069,0.074,0.078,3,1,0.8846153846,0.6923076923
B S ,Brixton,Stockwell,0,Victoria,0.052,0.066,0.072,0.077,3,1,0.8571428571,0.6753246753
B S ,Brixton,Stockwell,0,Victoria,0.043,0.055,0.059,0.065,3,1,0.8461538462,0.6615384615
B S ,Brixton,Stockwell,0,Victoria,0.037,0.046,0.049,0.051,3,1,0.9019607843,0.7254901961
B S ,Brixton,Stockwell,0,Victoria,0.033,0.04,0.042,0.046,3,1,0.8695652174,0.7173913043
B S ,Brixton,Stockwell,0,Victoria,0.029,0.036,0.038,0.042,3,1,0.8571428571,0.6904761905
B S ,Brixton,Stockwell,0,Victoria,0.027,0.033,0.034,0.036,3,1,0.9166666667,0.75
B S ,Brixton,Stockwell,0,Victoria,0.026,0.031,0.033,0.038,3,1,0.8157894737,0.6842105263
B S ,Brixton,Stockwell,0,Victoria,0.027,0.033,0.034,0.037,3,1,0.8918918919,0.7297297297
B S ,Brixton,Stockwell,0,Victoria,0.027,0.032,0.035,0.043,3,1,0.7441860465,0.6279069767
B S ,Brixton,Stockwell,0,Victoria,0.029,0.037,0.04,0.041,3,1,0.9024390244,0.7073170732
B S ,Brixton,Stockwell,0,Victoria,0.029,0.036,0.038,0.043,3,1,0.8372093023,0.6744186047
B S ,Brixton,Stockwell,0,Victoria,0.037,0.045,0.049,0.061,3,1,0.737704918,0.606557377
B S ,Brixton,Stockwell,0,Victoria,0.045,0.058,0.061,0.065,3,1,0.8923076923,0.6923076923
B S ,Brixton,Stockwell,0,Victoria,0.055,0.071,0.076,0.085,3,1,0.8352941176,0.6470588235
B S ,Brixton,Stockwell,0,Victoria,0.068,0.087,0.093,0.103,3,1,0.8446601942,0.6601941748
B S ,Brixton,Stockwell,0,Victoria,0.082,0.106,0.113,0.123,3,1,0.8617886179,0.6666666667
B S ,Brixton,Stockwell,0,Victoria,0.104,0.135,0.145,0.159,3,1,0.8490566038,0.6540880503
B S ,Brixton,Stockwell,0,Victoria,0.119,0.154,0.166,0.179,3,1,0.8603351955,0.6648044693
B S ,Brixton,Stockwell,0,Victoria,0.177,0.232,0.247,0.261,3,1,0.8888888889,0.6781609195
B S ,Brixton,Stockwell,0,Victoria,0.182,0.24,0.258,0.271,3,1,0.8856088561,0.6715867159
S V,Stockwell,Vauxhall,1,Victoria,0.187,0.246,0.264,0.277,3,1,0.8880866426,0.6750902527
S V,Stockwell,Vauxhall,1,Victoria,0.182,0.24,0.256,0.271,3,1,0.8856088561,0.6715867159
S V,Stockwell,Vauxhall,1,Victoria,0.159,0.21,0.225,0.24,3,1,0.875,0.6625
S V,Stockwell,Vauxhall,1,Victoria,0.149,0.197,0.212,0.229,3,1,0.8602620087,0.6506550218
S V,Stockwell,Vauxhall,1,Victoria,0.145,0.191,0.204,0.216,3,1,0.8842592593,0.6712962963
S V,Stockwell,Vauxhall,1,Victoria,0.133,0.174,0.188,0.196,3,1,0.887755102,0.6785714286
S V,Stockwell,Vauxhall,1,Victoria,0.129,0.169,0.18,0.197,3,1,0.8578680203,0.654822335
S V,Stockwell,Vauxhall,1,Victoria,0.118,0.156,0.166,0.178,3,1,0.8764044944,0.6629213483
S V,Stockwell,Vauxhall,1,Victoria,0.125,0.164,0.176,0.186,3,1,0.8817204301,0.6720430108
S V,Stockwell,Vauxhall,1,Victoria,0.133,0.175,0.186,0.202,3,1,0.8663366337,0.6584158416
S V,Stockwell,Vauxhall,1,Victoria,0.135,0.177,0.19,0.208,3,1,0.8509615385,0.6490384615
S V,Stockwell,Vauxhall,1,Victoria,0.135,0.178,0.19,0.198,3,1,0.898989899,0.6818181818
V P,Vauxhall,Pimlico,2,Victoria,0.144,0.188,0.201,0.212,3,1,0.8867924528,0.679245283
V P,Vauxhall,Pimlico,2,Victoria,0.158,0.206,0.22,0.234,3,1,0.8803418803,0.6752136752
V P,Vauxhall,Pimlico,2,Victoria,0.16,0.208,0.223,0.241,3,1,0.8630705394,0.6639004149
V P,Vauxhall,Pimlico,2,Victoria,0.149,0.193,0.209,0.23,3,1,0.8391304348,0.647826087
V P,Vauxhall,Pimlico,2,Victoria,0.129,0.169,0.181,0.194,3,1,0.8711340206,0.6649484536
V P,Vauxhall,Pimlico,2,Victoria,0.131,0.172,0.184,0.203,3,1,0.8472906404,0.645320197
V P,Vauxhall,Pimlico,2,Victoria,0.146,0.189,0.202,0.217,3,1,0.8709677419,0.6728110599
V P,Vauxhall,Pimlico,2,Victoria,0.156,0.202,0.218,0.232,3,1,0.8706896552,0.6724137931
V P,Vauxhall,Pimlico,2,Victoria,0.163,0.212,0.227,0.249,3,1,0.8514056225,0.6546184739
V P,Vauxhall,Pimlico,2,Victoria,0.164,0.212,0.227,0.252,3,1,0.8412698413,0.6507936508
V P,Vauxhall,Pimlico,2,Victoria,0.161,0.21,0.226,0.245,3,1,0.8571428571,0.6571428571
P V,Pimlico,Victoria,3,Victoria,0.16,0.211,0.225,0.24,3,1,0.8791666667,0.6666666667
P V,Pimlico,Victoria,3,Victoria,0.147,0.193,0.208,0.219,3,1,0.8812785388,0.6712328767
P V,Pimlico,Victoria,3,Victoria,0.136,0.176,0.189,0.204,3,1,0.862745098,0.6666666667
P V,Pimlico,Victoria,3,Victoria,0.136,0.176,0.188,0.204,3,1,0.862745098,0.6666666667
P V,Pimlico,Victoria,3,Victoria,0.141,0.184,0.196,0.206,3,1,0.8932038835,0.6844660194
P V,Pimlico,Victoria,3,Victoria,0.149,0.193,0.207,0.216,3,1,0.8935185185,0.6898148148
P V,Pimlico,Victoria,3,Victoria,0.156,0.203,0.217,0.23,3,1,0.8826086957,0.6782608696
P V,Pimlico,Victoria,3,Victoria,0.182,0.237,0.254,0.271,3,1,0.8745387454,0.6715867159
V GP,Victoria,Green Park,4,Victoria,0.178,0.232,0.248,0.265,3,1,0.8754716981,0.6716981132
V GP,Victoria,Green Park,4,Victoria,0.182,0.236,0.254,0.28,3,1,0.8428571429,0.65
V GP,Victoria,Green Park,4,Victoria,0.185,0.241,0.259,0.282,3,1,0.8546099291,0.6560283688
V GP,Victoria,Green Park,4,Victoria,0.179,0.234,0.248,0.279,3,1,0.8387096774,0.6415770609
V GP,Victoria,Green Park,4,Victoria,0.17,0.223,0.239,0.254,3,1,0.8779527559,0.6692913386
V GP,Victoria,Green Park,4,Victoria,0.175,0.227,0.243,0.264,3,1,0.8598484848,0.6628787879
V GP,Victoria,Green Park,4,Victoria,0.17,0.223,0.239,0.263,3,1,0.8479087452,0.6463878327
V GP,Victoria,Green Park,4,Victoria,0.17,0.223,0.239,0.254,3,1,0.8779527559,0.6692913386
V GP,Victoria,Green Park,4,Victoria,0.161,0.21,0.225,0.244,3,1,0.8606557377,0.6598360656
V GP,Victoria,Green Park,4,Victoria,0.161,0.209,0.224,0.243,3,1,0.8600823045,0.6625514403
V GP,Victoria,Green Park,4,Victoria,0.16,0.206,0.221,0.238,3,1,0.8655462185,0.6722689076
V GP,Victoria,Green Park,4,Victoria,0.157,0.202,0.219,0.23,3,1,0.8782608696,0.6826086957
V GP,Victoria,Green Park,4,Victoria,0.159,0.206,0.22,0.237,3,1,0.8691983122,0.6708860759
V GP,Victoria,Green Park,4,Victoria,0.165,0.214,0.228,0.246,3,1,0.8699186992,0.6707317073
V GP,Victoria,Green Park,4,Victoria,0.173,0.222,0.24,0.263,3,1,0.8441064639,0.6577946768
V GP,Victoria,Green Park,4,Victoria,0.162,0.209,0.226,0.239,3,1,0.8744769874,0.6778242678
V GP,Victoria,Green Park,4,Victoria,0.167,0.215,0.231,0.243,3,1,0.8847736626,0.6872427984
GP OC,Green Park,Oxford Circus,5,Victoria,0.166,0.215,0.231,0.247,3,1,0.8704453441,0.6720647773
GP OC,Green Park,Oxford Circus,5,Victoria,0.152,0.197,0.211,0.234,3,1,0.8418803419,0.6495726496
GP OC,Green Park,Oxford Circus,5,Victoria,0.127,0.162,0.172,0.19,3,1,0.8526315789,0.6684210526
GP OC,Green Park,Oxford Circus,5,Victoria,0.125,0.161,0.171,0.184,3,1,0.875,0.6793478261
GP OC,Green Park,Oxford Circus,5,Victoria,0.124,0.16,0.17,0.178,3,1,0.8988764045,0.6966292135
GP OC,Green Park,Oxford Circus,5,Victoria,0.123,0.158,0.167,0.176,3,1,0.8977272727,0.6988636364
OC WS,Oxford Circus,Warren Street,6,Victoria,0.128,0.163,0.173,0.189,3,1,0.8624338624,0.6772486772
OC WS,Oxford Circus,Warren Street,6,Victoria,0.136,0.174,0.184,0.199,3,1,0.8743718593,0.6834170854
OC WS,Oxford Circus,Warren Street,6,Victoria,0.137,0.175,0.188,0.2,3,1,0.875,0.685
OC WS,Oxford Circus,Warren Street,6,Victoria,0.147,0.186,0.201,0.213,3,1,0.8732394366,0.6901408451
OC WS,Oxford Circus,Warren Street,6,Victoria,0.136,0.175,0.187,0.198,3,1,0.8838383838,0.6868686869
OC WS,Oxford Circus,Warren Street,6,Victoria,0.13,0.168,0.178,0.193,3,1,0.8704663212,0.6735751295
OC WS,Oxford Circus,Warren Street,6,Victoria,0.132,0.17,0.182,0.198,3,1,0.8585858586,0.6666666667
OC WS,Oxford Circus,Warren Street,6,Victoria,0.135,0.172,0.185,0.199,3,1,0.864321608,0.6783919598
OC WS,Oxford Circus,Warren Street,6,Victoria,0.129,0.165,0.175,0.188,3,1,0.8776595745,0.6861702128
OC WS,Oxford Circus,Warren Street,6,Victoria,0.13,0.165,0.176,0.183,3,1,0.9016393443,0.7103825137
OC WS,Oxford Circus,Warren Street,6,Victoria,0.164,0.209,0.221,0.233,3,1,0.8969957082,0.7038626609
OC WS,Oxford Circus,Warren Street,6,Victoria,0.241,0.309,0.33,0.347,3,1,0.8904899135,0.6945244957
WS E,Warren Street,Euston,7,Victoria,0.228,0.29,0.311,0.331,3,1,0.8761329305,0.6888217523
WS E,Warren Street,Euston,7,Victoria,0.261,0.334,0.359,0.379,3,1,0.8812664908,0.6886543536
WS E,Warren Street,Euston,7,Victoria,0.245,0.314,0.335,0.355,3,1,0.8845070423,0.6901408451
WS E,Warren Street,Euston,7,Victoria,0.191,0.249,0.265,0.286,3,1,0.8706293706,0.6678321678
WS E,Warren Street,Euston,7,Victoria,0.173,0.225,0.24,0.256,3,1,0.87890625,0.67578125
WS E,Warren Street,Euston,7,Victoria,0.139,0.179,0.193,0.206,3,1,0.8689320388,0.6747572816
E KC,Euston,King's Cross St. Pancras,6,Victoria,0.155,0.201,0.215,0.233,3,1,0.8626609442,0.6652360515
E KC,Euston,King's Cross St. Pancras,6,Victoria,0.19,0.244,0.263,0.279,3,1,0.8745519713,0.6810035842
E KC,Euston,King's Cross St. Pancras,6,Victoria,0.231,0.298,0.322,0.354,3,1,0.8418079096,0.6525423729
E KC,Euston,King's Cross St. Pancras,6,Victoria,0.252,0.327,0.351,0.38,3,1,0.8605263158,0.6631578947
E KC,Euston,King's Cross St. Pancras,6,Victoria,0.276,0.359,0.387,0.41,3,1,0.8756097561,0.6731707317
E KC,Euston,King's Cross St. Pancras,6,Victoria,0.234,0.304,0.327,0.354,3,1,0.8587570621,0.6610169492
E KC,Euston,King's Cross St. Pancras,6,Victoria,0.226,0.292,0.314,0.331,3,1,0.8821752266,0.6827794562
E KC,Euston,King's Cross St. Pancras,6,Victoria,0.203,0.266,0.283,0.302,3,1,0.880794702,0.6721854305
E KC,Euston,King's Cross St. Pancras,6,Victoria,0.197,0.255,0.274,0.292,3,1,0.8732876712,0.6746575342
E KC,Euston,King's Cross St. Pancras,6,Victoria,0.173,0.227,0.243,0.261,3,1,0.8697318008,0.662835249
E KC,Euston,King's Cross St. Pancras,6,Victoria,0.155,0.201,0.218,0.237,3,1,0.8481012658,0.6540084388
E KC,Euston,King's Cross St. Pancras,6,Victoria,0.168,0.219,0.236,0.243,3,1,0.9012345679,0.6913580247
KC HI,King's Cross St. Pancras,Highbury & Islington,5,Victoria,0.148,0.191,0.206,0.236,3,1,0.8093220339,0.6271186441
KC HI,King's Cross St. Pancras,Highbury & Islington,5,Victoria,0.136,0.176,0.19,0.205,3,1,0.8585365854,0.6634146341
KC HI,King's Cross St. Pancras,Highbury & Islington,5,Victoria,0.124,0.161,0.174,0.185,3,1,0.8702702703,0.6702702703
KC HI,King's Cross St. Pancras,Highbury & Islington,5,Victoria,0.115,0.147,0.158,0.168,3,1,0.875,0.6845238095
KC HI,King's Cross St. Pancras,Highbury & Islington,5,Victoria,0.118,0.152,0.165,0.176,3,1,0.8636363636,0.6704545455
KC HI,King's Cross St. Pancras,Highbury & Islington,5,Victoria,0.117,0.151,0.163,0.179,3,1,0.843575419,0.6536312849
KC HI,King's Cross St. Pancras,Highbury & Islington,5,Victoria,0.125,0.159,0.171,0.183,3,1,0.868852459,0.6830601093
KC HI,King's Cross St. Pancras,Highbury & Islington,5,Victoria,0.133,0.17,0.182,0.197,3,1,0.8629441624,0.6751269036
KC HI,King's Cross St. Pancras,Highbury & Islington,5,Victoria,0.145,0.185,0.198,0.211,3,1,0.8767772512,0.6872037915
KC HI,King's Cross St. Pancras,Highbury & Islington,5,Victoria,0.159,0.203,0.217,0.234,3,1,0.8675213675,0.6794871795
KC HI,King's Cross St. Pancras,Highbury & Islington,5,Victoria,0.169,0.214,0.227,0.24,3,1,0.8916666667,0.7041666667
KC HI,King's Cross St. Pancras,Highbury & Islington,5,Victoria,0.179,0.225,0.24,0.26,3,1,0.8653846154,0.6884615385
 HI FP,Highbury & Islington,Finsbury Park,4,Victoria,0.177,0.223,0.236,0.249,3,1,0.8955823293,0.7108433735
 HI FP,Highbury & Islington,Finsbury Park,4,Victoria,0.178,0.227,0.241,0.25,3,1,0.908,0.712
 HI FP,Highbury & Islington,Finsbury Park,4,Victoria,0.184,0.233,0.245,0.255,3,1,0.9137254902,0.7215686275
 HI FP,Highbury & Islington,Finsbury Park,4,Victoria,0.174,0.222,0.235,0.248,3,1,0.8951612903,0.7016129032
 HI FP,Highbury & Islington,Finsbury Park,4,Victoria,0.165,0.212,0.226,0.243,3,1,0.8724279835,0.6790123457
 HI FP,Highbury & Islington,Finsbury Park,4,Victoria,0.126,0.166,0.181,0.202,3,1,0.8217821782,0.6237623762
 HI FP,Highbury & Islington,Finsbury Park,4,Victoria,0.126,0.165,0.177,0.193,3,1,0.8549222798,0.6528497409
 HI FP,Highbury & Islington,Finsbury Park,4,Victoria,0.128,0.166,0.181,0.203,3,1,0.8177339901,0.6305418719
 HI FP,Highbury & Islington,Finsbury Park,4,Victoria,0.131,0.168,0.181,0.198,3,1,0.8484848485,0.6616161616
 HI FP,Highbury & Islington,Finsbury Park,4,Victoria,0.137,0.176,0.189,0.204,3,1,0.862745098,0.6715686275
 HI FP,Highbury & Islington,Finsbury Park,4,Victoria,0.134,0.171,0.183,0.195,3,1,0.8769230769,0.6871794872
 HI FP,Highbury & Islington,Finsbury Park,4,Victoria,0.132,0.169,0.181,0.198,3,1,0.8535353535,0.6666666667
 HI FP,Highbury & Islington,Finsbury Park,4,Victoria,0.139,0.179,0.191,0.203,3,1,0.881773399,0.684729064
 HI FP,Highbury & Islington,Finsbury Park,4,Victoria,0.151,0.193,0.207,0.229,3,1,0.8427947598,0.6593886463
 HI FP,Highbury & Islington,Finsbury Park,4,Victoria,0.15,0.193,0.206,0.229,3,1,0.8427947598,0.6550218341
 HI FP,Highbury & Islington,Finsbury Park,4,Victoria,0.159,0.206,0.219,0.233,3,1,0.8841201717,0.6824034335
 HI FP,Highbury & Islington,Finsbury Park,4,Victoria,0.162,0.21,0.225,0.244,3,1,0.8606557377,0.6639344262
 HI FP,Highbury & Islington,Finsbury Park,4,Victoria,0.178,0.228,0.245,0.262,3,1,0.8702290076,0.679389313
FP SS,Finsbury Park,Seven Sisters,3,Victoria,0.193,0.249,0.268,0.305,3,1,0.8163934426,0.6327868852
FP SS,Finsbury Park,Seven Sisters,3,Victoria,0.257,0.331,0.354,0.385,3,1,0.8597402597,0.6675324675
FP SS,Finsbury Park,Seven Sisters,3,Victoria,0.277,0.365,0.394,0.426,3,1,0.8568075117,0.6502347418
FP SS,Finsbury Park,Seven Sisters,3,Victoria,0.246,0.324,0.349,0.381,3,1,0.8503937008,0.6456692913
FP SS,Finsbury Park,Seven Sisters,3,Victoria,0.224,0.295,0.317,0.343,3,1,0.860058309,0.6530612245
FP SS,Finsbury Park,Seven Sisters,3,Victoria,0.22,0.29,0.31,0.334,3,1,0.8682634731,0.6586826347
FP SS,Finsbury Park,Seven Sisters,3,Victoria,0.237,0.31,0.332,0.36,3,1,0.8611111111,0.6583333333
FP SS,Finsbury Park,Seven Sisters,3,Victoria,0.229,0.301,0.321,0.351,3,1,0.8575498575,0.6524216524
FP SS,Finsbury Park,Seven Sisters,3,Victoria,0.24,0.314,0.338,0.361,3,1,0.8698060942,0.6648199446
FP SS,Finsbury Park,Seven Sisters,3,Victoria,0.245,0.322,0.345,0.369,3,1,0.8726287263,0.6639566396
FP SS,Finsbury Park,Seven Sisters,3,Victoria,0.252,0.329,0.352,0.379,3,1,0.8680738786,0.6649076517
FP SS,Finsbury Park,Seven Sisters,3,Victoria,0.258,0.335,0.358,0.39,3,1,0.858974359,0.6615384615
FP SS,Finsbury Park,Seven Sisters,3,Victoria,0.257,0.334,0.358,0.38,3,1,0.8789473684,0.6763157895
FP SS,Finsbury Park,Seven Sisters,3,Victoria,0.263,0.34,0.364,0.385,3,1,0.8831168831,0.6831168831
FP SS,Finsbury Park,Seven Sisters,3,Victoria,0.263,0.34,0.362,0.381,3,1,0.8923884514,0.6902887139
FP SS,Finsbury Park,Seven Sisters,3,Victoria,0.27,0.349,0.372,0.395,3,1,0.8835443038,0.6835443038
FP SS,Finsbury Park,Seven Sisters,3,Victoria,0.273,0.349,0.369,0.39,3,1,0.8948717949,0.7
FP SS,Finsbury Park,Seven Sisters,3,Victoria,0.287,0.367,0.386,0.407,3,1,0.9017199017,0.7051597052
SS TH,Seven Sisters,Tottenham Hale,2,Victoria,0.313,0.397,0.42,0.442,3,1,0.8981900452,0.7081447964
SS TH,Seven Sisters,Tottenham Hale,2,Victoria,0.31,0.396,0.421,0.449,3,1,0.8819599109,0.6904231626
SS TH,Seven Sisters,Tottenham Hale,2,Victoria,0.303,0.386,0.41,0.435,3,1,0.8873563218,0.6965517241
SS TH,Seven Sisters,Tottenham Hale,2,Victoria,0.31,0.393,0.418,0.44,3,1,0.8931818182,0.7045454545
SS TH,Seven Sisters,Tottenham Hale,2,Victoria,0.326,0.414,0.441,0.467,3,1,0.886509636,0.6980728051
SS TH,Seven Sisters,Tottenham Hale,2,Victoria,0.337,0.428,0.455,0.487,3,1,0.8788501027,0.6919917864
SS TH,Seven Sisters,Tottenham Hale,2,Victoria,0.36,0.453,0.482,0.522,3,1,0.867816092,0.6896551724
SS TH,Seven Sisters,Tottenham Hale,2,Victoria,0.334,0.424,0.451,0.479,3,1,0.885177453,0.6972860125
SS TH,Seven Sisters,Tottenham Hale,2,Victoria,0.319,0.401,0.425,0.454,3,1,0.8832599119,0.7026431718
SS TH,Seven Sisters,Tottenham Hale,2,Victoria,0.325,0.411,0.437,0.466,3,1,0.8819742489,0.6974248927
SS TH,Seven Sisters,Tottenham Hale,2,Victoria,0.312,0.396,0.423,0.453,3,1,0.8741721854,0.6887417219
SS TH,Seven Sisters,Tottenham Hale,2,Victoria,0.285,0.361,0.382,0.412,3,1,0.8762135922,0.6917475728
SS TH,Seven Sisters,Tottenham Hale,2,Victoria,0.266,0.337,0.356,0.374,3,1,0.9010695187,0.7112299465
SS TH,Seven Sisters,Tottenham Hale,2,Victoria,0.225,0.285,0.301,0.322,3,1,0.8850931677,0.698757764
SS TH,Seven Sisters,Tottenham Hale,2,Victoria,0.187,0.238,0.253,0.268,3,1,0.8880597015,0.697761194
SS TH,Seven Sisters,Tottenham Hale,2,Victoria,0.171,0.216,0.23,0.243,3,1,0.8888888889,0.7037037037
SS TH,Seven Sisters,Tottenham Hale,2,Victoria,0.176,0.221,0.235,0.251,3,1,0.8804780876,0.7011952191
SS TH,Seven Sisters,Tottenham Hale,2,Victoria,0.161,0.203,0.217,0.229,3,1,0.8864628821,0.7030567686
TH BR,Tottenham Hale,Blackhorse Road,1,Victoria,0.169,0.214,0.228,0.244,3,1,0.8770491803,0.6926229508
TH BR,Tottenham Hale,Blackhorse Road,1,Victoria,0.177,0.22,0.234,0.255,3,1,0.862745098,0.6941176471
TH BR,Tottenham Hale,Blackhorse Road,1,Victoria,0.157,0.199,0.214,0.231,3,1,0.8614718615,0.6796536797
TH BR,Tottenham Hale,Blackhorse Road,1,Victoria,0.154,0.196,0.209,0.224,3,1,0.875,0.6875
TH BR,Tottenham Hale,Blackhorse Road,1,Victoria,0.141,0.18,0.192,0.204,3,1,0.8823529412,0.6911764706
TH BR,Tottenham Hale,Blackhorse Road,1,Victoria,0.138,0.174,0.184,0.193,3,1,0.9015544041,0.7150259067
TH BR,Tottenham Hale,Blackhorse Road,1,Victoria,0.142,0.178,0.189,0.201,3,1,0.8855721393,0.7064676617
TH BR,Tottenham Hale,Blackhorse Road,1,Victoria,0.148,0.186,0.198,0.207,3,1,0.8985507246,0.7149758454
TH BR,Tottenham Hale,Blackhorse Road,1,Victoria,0.193,0.245,0.26,0.276,3,1,0.8876811594,0.6992753623
TH BR,Tottenham Hale,Blackhorse Road,1,Victoria,0.246,0.309,0.328,0.349,3,1,0.8853868195,0.7048710602
TH BR,Tottenham Hale,Blackhorse Road,1,Victoria,0.234,0.294,0.31,0.332,3,1,0.8855421687,0.7048192771
TH BR,Tottenham Hale,Blackhorse Road,1,Victoria,0.231,0.292,0.31,0.328,3,1,0.8902439024,0.7042682927
BR WC,Blackhorse Road,Walthamstow Central,0,Victoria,0.22,0.279,0.296,0.309,3,1,0.9029126214,0.71197411
BR WC,Blackhorse Road,Walthamstow Central,0,Victoria,0.216,0.274,0.289,0.302,3,1,0.9072847682,0.7152317881
BR WC,Blackhorse Road,Walthamstow Central,0,Victoria,0.22,0.277,0.294,0.31,3,1,0.8935483871,0.7096774194
BR WC,Blackhorse Road,Walthamstow Central,0,Victoria,0.203,0.265,0.286,0.308,3,1,0.8603896104,0.6590909091
BR WC,Blackhorse Road,Walthamstow Central,0,Victoria,0.185,0.234,0.247,0.262,3,1,0.893129771,0.7061068702
BR WC,Blackhorse Road,Walthamstow Central,0,Victoria,0.189,0.241,0.255,0.273,3,1,0.8827838828,0.6923076923
BR WC,Blackhorse Road,Walthamstow Central,0,Victoria,0.18,0.229,0.244,0.258,3,1,0.8875968992,0.6976744186
BR WC,Blackhorse Road,Walthamstow Central,0,Victoria,0.181,0.231,0.247,0.264,3,1,0.875,0.6856060606
BR WC,Blackhorse Road,Walthamstow Central,0,Victoria,0.176,0.224,0.239,0.254,3,1,0.8818897638,0.6929133858
BR WC,Blackhorse Road,Walthamstow Central,0,Victoria,0.13,0.166,0.178,0.194,3,1,0.8556701031,0.6701030928
BR WC,Blackhorse Road,Walthamstow Central,0,Victoria,0.116,0.146,0.157,0.181,3,1,0.8066298343,0.6408839779
BR WC,Blackhorse Road,Walthamstow Central,0,Victoria,0.109,0.138,0.148,0.16,3,1,0.8625,0.68125
B W,Bank,Waterloo,0,W'loo&City,0.042,0.05,0.054,0.061,4,1,0.8196721311,0.6885245902
B W,Bank,Waterloo,0,W'loo&City,0.071,0.085,0.089,0.096,4,1,0.8854166667,0.7395833333
B W,Bank,Waterloo,0,W'loo&City,0.08,0.094,0.098,0.104,4,1,0.9038461538,0.7692307692
B W,Bank,Waterloo,0,W'loo&City,0.085,0.101,0.107,0.114,4,1,0.8859649123,0.7456140351
B W,Bank,Waterloo,0,W'loo&City,0.086,0.103,0.107,0.118,4,1,0.8728813559,0.7288135593
B W,Bank,Waterloo,0,W'loo&City,0.093,0.11,0.116,0.124,4,1,0.8870967742,0.75
B W,Bank,Waterloo,0,W'loo&City,0.102,0.122,0.129,0.142,4,1,0.8591549296,0.7183098592
B W,Bank,Waterloo,0,W'loo&City,0.095,0.115,0.121,0.131,4,1,0.8778625954,0.7251908397
B W,Bank,Waterloo,0,W'loo&City,0.165,0.199,0.211,0.222,4,1,0.8963963964,0.7432432432
B W,Bank,Waterloo,0,W'loo&City,0.219,0.27,0.285,0.301,4,1,0.8970099668,0.7275747508
B W,Bank,Waterloo,0,W'loo&City,0.216,0.268,0.283,0.303,4,1,0.8844884488,0.7128712871
B W,Bank,Waterloo,0,W'loo&City,0.211,0.26,0.273,0.291,4,1,0.8934707904,0.7250859107
B W,Bank,Waterloo,0,W'loo&City,0.202,0.249,0.26,0.279,4,1,0.8924731183,0.7240143369
B W,Bank,Waterloo,0,W'loo&City,0.198,0.253,0.267,0.29,4,1,0.8724137931,0.6827586207
B W,Bank,Waterloo,0,W'loo&City,0.202,0.252,0.264,0.277,4,1,0.9097472924,0.7292418773
B W,Bank,Waterloo,0,W'loo&City,0.216,0.267,0.282,0.3,4,1,0.89,0.72
B W,Bank,Waterloo,0,W'loo&City,0.34,0.397,0.414,0.439,4,1,0.9043280182,0.7744874715
B W,Bank,Waterloo,0,W'loo&City,0.23,0.289,0.306,0.326,4,1,0.8865030675,0.7055214724
B W,Bank,Waterloo,0,W'loo&City,0.241,0.301,0.32,0.342,4,1,0.8801169591,0.7046783626
B W,Bank,Waterloo,0,W'loo&City,0.24,0.3,0.317,0.344,4,1,0.8720930233,0.6976744186
B W,Bank,Waterloo,0,W'loo&City,0.234,0.294,0.311,0.327,4,1,0.8990825688,0.7155963303
B W,Bank,Waterloo,0,W'loo&City,0.252,0.316,0.333,0.356,4,1,0.8876404494,0.7078651685
B W,Bank,Waterloo,0,W'loo&City,0.247,0.312,0.33,0.349,4,1,0.893982808,0.7077363897
B W,Bank,Waterloo,0,W'loo&City,0.253,0.318,0.336,0.355,4,1,0.8957746479,0.7126760563
B W,Bank,Waterloo,0,W'loo&City,0.263,0.327,0.346,0.368,4,1,0.8885869565,0.714673913
EC GR,Earls Court,Gloucester Road,0,Piccadilly,0.09,0.127,0.142,0.168,5,1,0.755952381,0.5357142857
EC GR,Earls Court,Gloucester Road,0,Piccadilly,0.087,0.126,0.144,0.163,5,1,0.773006135,0.5337423313
EC GR,Earls Court,Gloucester Road,0,Piccadilly,0.087,0.127,0.146,0.173,5,1,0.7341040462,0.5028901734
EC GR,Earls Court,Gloucester Road,0,Piccadilly,0.076,0.111,0.127,0.142,5,1,0.7816901408,0.5352112676
EC GR,Earls Court,Gloucester Road,0,Piccadilly,0.088,0.127,0.144,0.162,5,1,0.7839506173,0.5432098765
EC GR,Earls Court,Gloucester Road,0,Piccadilly,0.096,0.137,0.155,0.177,5,1,0.7740112994,0.5423728814
