line,station,pm25,particle_number,black_carbon,x,y,z
Piccadilly,Green Park,475.20,20293.50,53.70,-0.142920666005754,51.5068482121755,-26.50
Northern,Tufnell Park,239.72,22647.33,146.63,-0.137920368816209,51.556668223395,-20.71
District,Barons Court,17.10,9999.00,2.45,-0.213605663666295,51.4901590781462,-2.70
Piccadilly,Turnpike Lane,348.30,13635.00,70.00,-0.102793192502634,51.5902948385684,-14.72
Metropolitan,North Harrow,99.90,7493.00,3.60,-0.362222847635272,51.5847958457345,6.00
Victoria,Oxford Circus,240.31,18368.00,93.33,-0.141762698422423,51.5151209635395,-22.86
Piccadilly,Hammersmith,270.00,12949.00,13.20,-0.222399620478315,51.492567796395,-0.60
Circle,Bayswater,11.70,8250.00,3.00,-0.18804092194745,51.5122300469349,-7.04
Jubilee,St. John's Wood,245.70,17246.75,33.08,-0.174177172952782,51.5345681277772,-17.56
Hammersmith & City,Liverpool Street,10.35,10314.50,30.85,-0.0829663006137775,51.5173490726498,-6.60
Metropolitan,Moorgate,125.10,12441.50,8.70,-0.0890062507802512,51.5183648779712,-5.50
Docklands Light Railway,Blackwall,17.10,13502.00,1.95,-0.0071030631332231,51.508215980354,-90.00
Docklands Light Railway,Canning Town,16.65,9458.25,1.80,0.00817447883598586,51.5138365874554,-90.00
Circle,Ladbroke Grove,18.90,7762.00,2.45,-0.210862145965403,51.5171845007197,5.40
Docklands Light Railway,Lewisham,13.50,3704.50,1.80,-0.014713338191129,51.4660704155973,-90.00
District,Chiswick Park,18.00,9999.00,1.05,-0.267753999452555,51.4942986001668,3.00
Central,Marble Arch,400.80,26009.33,68.03,-0.158444176207002,51.5135406022891,-25.60
Northern,Euston,234.18,22947.83,157.20,-0.133284961944729,51.5285920007108,-21.44
Metropolitan,Ruislip Manor,122.40,7937.50,2.90,-0.412339126038203,51.5731832372989,5.60
Piccadilly,Hyde Park Corner,526.50,17425.50,49.75,-0.152755155498789,51.5027590591753,-27.09
Hammersmith & City,Wood Lane,1.85,8827.00,9.20,-0.224199987535289,51.509799995393,6.40
Piccadilly,South Kensington,372.60,14855.50,56.00,-0.173925852542494,51.4939991963803,-20.75
Central,Perivale,56.70,6291.00,5.85,-0.323854089586345,51.5365952940736,6.60
Central,Holborn,363.60,23964.00,60.35,-0.120005169629409,51.5174360253105,-26.25
Docklands Light Railway,Langdon Park,17.10,6093.50,1.00,-0.0139999874398764,51.5149999953969,-90.00
Victoria,Walthamstow Central,86.81,27294.33,247.00,-0.019914389917506,51.5829547030759,-17.20
Circle,Great Portland Street,134.10,12781.00,17.70,-0.143949899367863,51.5237164494369,-7.60
Piccadilly,Barons Court,237.60,15187.00,17.65,-0.213605663666295,51.4901590781462,-2.40
District,Dagenham Heathway,28.80,9841.50,1.35,0.147684816332817,51.5416256209743,-4.80
Northern,Goodge Street,245.63,23740.00,153.50,-0.134656903288951,51.5204216598319,-28.92
Bakerloo,Charing Cross,219.78,20622.33,142.27,-0.124750098305713,51.5085913981351,-23.81
Central,North Acton,50.40,5814.75,4.63,-0.259731880363049,51.5233691021003,-8.60
Piccadilly,Gloucester Road,451.80,15548.50,60.90,-0.182992031938743,51.4942389350957,-19.62
District,Whitechapel,167.40,9999.00,23.20,-0.0599883116940927,51.5194532117252,-2.89
Piccadilly,Hounslow West,273.60,13146.00,11.90,-0.385738900118351,51.4730335877057,-5.30
District,Mile End,202.50,13372.50,22.70,-0.0334107970620596,51.5250896088848,-7.28
Docklands Light Railway,Woolwich Arsenal,21.60,6372.00,3.50,0.0690000125810153,51.489999995378,-90.00
Metropolitan,Farringdon,138.60,11166.50,10.45,-0.105063421916659,51.5204418869312,-4.50
Central,Chancery Lane,527.40,22281.50,53.00,-0.11167473715281,51.5181205261077,-22.20
Docklands Light Railway,Prince Regent,16.20,5538.50,1.55,0.0332962142082881,51.5093210460095,-90.00
District,Cannon Street,114.30,9999.00,28.60,-0.0906943079881048,51.5114321259319,-6.60
Metropolitan,Croxley,101.70,6611.50,2.85,-0.441718090892908,51.6470420540678,-6.60
Piccadilly,King's Cross St. Pancras,393.30,15392.50,50.60,-0.123854353600157,51.5303929191438,-22.64
Hammersmith & City,Royal Oak,5.02,8297.00,14.15,-0.188232958585438,51.5190133202451,-6.00
Victoria,Finsbury Park,281.55,19444.25,142.55,-0.10651152685474,51.5644026558174,-8.55
Metropolitan,Barbican,141.30,11825.00,9.20,-0.0977101273045501,51.5201430089772,-8.60
District,Victoria,86.40,9999.00,19.95,-0.143851961630273,51.4963417077889,-7.60
Metropolitan,Aldgate,125.10,11864.00,8.80,-0.0756154977289451,51.514270138507,-7.20
Victoria,Stockwell,474.30,17901.00,66.30,-0.122903451253838,51.4721689736,-13.71
Victoria,Highbury & Islington,204.34,18675.00,154.18,-0.10396321493951,51.5462326432824,-16.15
Docklands Light Railway,Deptford Bridge,21.60,6235.50,3.60,-0.0215565299367416,51.4742885263312,2.40
