line,station,pm25,particle_number,black_carbon,x,y,z
Bakerloo,Oxford Circus,296.79,20058.33,142.00,-0.141762698422423,51.5151209635395,-22.31
Metropolitan,Pinner,100.80,7353.00,3.40,-0.38091725302383,51.5928603975666,-0.50
Northern,Embankment,283.16,27545.50,157.28,-0.122355848615159,51.5072401817276,-16.32
District,Aldgate East,120.60,9999.00,23.45,-0.0722888564344226,51.5152316709801,-8.99
Circle,Sloane Square,73.80,7697.00,8.30,-0.15649171450602,51.4922876242691,-8.40
Docklands Light Railway,Royal Victoria,15.30,6730.50,1.50,0.0180810522098941,51.5090622788721,-90.00
District,Bow Road,162.00,11907.00,20.65,-0.0248170276393772,51.5267976887795,-5.20
Metropolitan,Watford,109.80,6564.00,2.75,-0.417276216685955,51.6574246687686,-5.20
District,Barking,16.20,11368.50,1.55,0.0808571915802601,51.5394488615307,-2.60
Northern,Woodside Park,42.70,9908.67,11.55,-0.185427611302256,51.6178141867356,-1.70
Docklands Light Railway,Gallions Reach,13.50,4328.50,1.05,0.0722162661108057,51.5095390675711,-90.00
Jubilee,Canada Water,310.95,16547.50,48.40,-0.0497096172127561,51.4978893064606,-18.33
Northern,Totteridge & Whetstone,34.76,9833.17,10.75,-0.179254577864759,51.6302089226748,-1.20
Piccadilly,Boston Manor,235.80,14316.00,14.70,-0.324764175408852,51.4956933190209,-5.60
Northern,Clapham North,362.70,22598.00,59.50,-0.129524131891944,51.4648469091035,-14.27
Docklands Light Railway,Stratford International,13.50,5569.50,1.50,-0.00859998742004051,51.544799995419,-90.00
Circle,Tower Hill,89.10,13612.50,12.90,-0.0763547509340763,51.5100647442341,-7.05
Hammersmith & City,Barbican,8.25,9571.50,25.00,-0.0977101273045501,51.5201430089772,-8.60
District,West Kensington,36.90,9999.00,2.70,-0.206476757134346,51.4904908963055,-5.65
Central,Shepherd's Bush,195.60,12640.00,25.30,-0.226303429082421,51.5055580193547,-16.18
Hammersmith & City,West Ham,6.09,5006.50,17.50,0.00504272454821985,51.5281795214174,3.70
District,Tower Hill,101.70,9999.00,26.95,-0.0763547509340763,51.5100647442341,-7.05
District,Ealing Common,19.80,9999.00,1.50,-0.288265787881632,51.5101205874873,-5.00
Docklands Light Railway,Cutty Sark,37.80,7424.50,4.90,-0.0108518256256816,51.4816972465619,-4.80
Circle,Edgware Road Circle,39.86,14199.00,5.46,-0.16767145700036,51.5199168979489,-5.20
Circle,High Street Kensington,19.80,9926.00,2.70,-0.192504806733439,51.5006716751557,-5.70
Hammersmith & City,Shepherd's Bush Market,1.75,6837.00,9.15,-0.226303429082421,51.5055580193547,5.90
Docklands Light Railway,Stratford High Street,21.60,4998.00,1.50,-0.000599987420628587,51.5378999954139,-90.00
Docklands Light Railway,East India,17.10,12681.00,2.20,-0.00274376617704363,51.509041088632,-90.00
Metropolitan,Preston Road,106.20,6388.00,2.50,-0.295263106008515,51.5720355478508,-3.90
District,Sloane Square,68.40,9999.00,14.25,-0.15649171450602,51.4922876242691,-8.40
Victoria,King's Cross St. Pancras,103.04,18892.75,106.20,-0.123854353600157,51.5303929191438,-17.09
Hammersmith & City,East Ham,2.05,4244.50,8.35,0.0514729692639395,51.5389232811866,-5.30
Metropolitan,Eastcote,119.70,8398.50,2.80,-0.396839570232766,51.5764974547998,-4.90
Metropolitan,Ruislip,118.80,8124.00,2.75,-0.421461708172558,51.5714449236448,-0.40
Docklands Light Railway,Beckton Park,16.20,4822.50,1.35,0.0548960011963405,51.5089445610781,-90.00
Circle,Hammersmith,26.10,10353.00,2.10,-0.222399620478315,51.492567796395,-4.60
District,Hornchurch,28.80,10045.00,1.60,0.219025285615604,51.5540028971043,-5.80
Bakerloo,Paddington,342.90,12505.00,105.30,-0.175394251673889,51.5153072496279,-15.73
Central,West Ruislip,34.65,4606.25,1.98,-0.437891094353779,51.5695246335051,-5.90
Jubilee,Kilburn,29.25,5900.25,3.55,-0.204635151062006,51.546881202423,7.20
Victoria,Tottenham Hale,90.11,23912.00,262.50,-0.0602868463572272,51.5880442904577,-19.27
Hammersmith & City,Bromley-by-Bow,11.34,6535.00,30.80,-0.0116566534856929,51.5247678154368,-2.80
Jubilee,Queensbury,30.60,15324.00,2.70,-0.285779731544549,51.5943510482267,3.20
District,Blackfriars,173.70,9999.00,28.50,-0.103604701194793,51.5114887137398,-7.30
Central,Barkingside,81.00,4178.00,3.30,0.0885170688108775,51.585787101945,0.50
Hammersmith & City,King's Cross St. Pancras,11.11,12565.50,49.20,-0.123854353600157,51.5303929191438,-7.90
Northern,Mornington Crescent,184.63,23779.00,168.30,-0.138836994602524,51.5342105994862,-15.29
Circle,Paddington,31.95,10587.00,4.18,-0.175394251673889,51.5153072496279,-6.20
Circle,Moorgate,44.10,11294.50,6.50,-0.0890062507802512,51.5183648779712,-5.50
District,Upminster Bridge,21.60,9726.50,2.30,0.235775393275889,51.5587478660801,4.30
Central,Liverpool Street,393.30,21969.00,47.05,-0.0829663006137775,51.5173490726498,-21.53
Northern,Finchley Central,34.52,10504.18,13.67,-0.192452544776817,51.6009720510096,-8.50
Northern,Tottenham Court Road,205.25,24530.25,132.63,-0.13086553490483,51.5162067644161,-30.73
District,Plaistow,23.40,9501.00,2.40,0.0178063193212912,51.5312159926194,-6.60
Northern,Morden,162.00,9271.00,28.65,-0.194788449089268,51.402337549315,-4.40
Central,Holland Park,169.20,15558.00,39.03,-0.205729090198736,51.5073313163759,-18.79
Metropolitan,Harrow on the Hill,112.50,8824.00,3.70,-0.337018190287471,51.5793248695833,-1.90
Northern,Waterloo,268.06,29988.25,180.83,-0.114065872463076,51.5035011567066,-21.19
Docklands Light Railway,West Silvertown,19.80,11487.00,2.40,0.0225000125686653,51.5027779953877,-90.00
Central,West Acton,34.20,6044.50,3.00,-0.280999471795367,51.5178646424814,-5.60
Circle,Monument,80.10,11918.50,16.90,-0.0889424721743131,51.5133459887331,-8.10
Piccadilly,Hatton Cross,269.10,19925.00,16.25,-0.423411769832354,51.4666131036847,
Circle,Baker Street,68.40,11944.00,12.40,-0.156907053899173,51.5230574802078,-8.15
Metropolitan,Hillingdon,112.50,7452.50,2.80,-0.449928913982384,51.5537142546755,0.70
District,Monument,207.90,9999.00,25.05,-0.0889424721743131,51.5133459887331,-8.10
Metropolitan,Chesham,84.60,4229.00,2.35,-0.611223045494691,51.7050349041994,
Central,Ruislip Gardens,45.00,5068.00,3.85,-0.411032255413988,51.5605855425804,4.50
Jubilee,Canons Park,20.70,6987.50,1.50,-0.294647316618322,51.6077617211332,5.10
Bakerloo,Marylebone,406.80,13820.00,116.30,-0.163110434455787,51.5222195718764,-22.63
District,Dagenham East,9.90,9579.50,1.25,0.165873291209225,51.5441149433817,-3.60
Bakerloo,Harlesden,88.20,6221.50,20.70,-0.257498030965518,51.5361950063205,-6.20
Docklands Light Railway,Canary Wharf,16.20,12713.50,2.15,-0.0194247711066832,51.5035506955663,-90.00
Piccadilly,Covent Garden,398.70,19150.50,52.85,-0.12415491714081,51.5129072865945,-36.99
Hammersmith & City,Latimer Road,2.26,8964.00,9.20,-0.217778582282912,51.5135399564754,6.00
Piccadilly,Southgate,309.60,5452.50,11.90,-0.127757783982528,51.6323215010068,-10.77
Central,Hanger Lane,45.90,6284.00,6.35,-0.293012860933697,51.5300088625009,-8.10
Docklands Light Railway,Cyprus,13.50,4348.50,1.20,0.0635357842777841,51.5087928540737,2.40
Jubilee,Westminster,317.70,17705.00,48.28,-0.124813363226207,51.5010836419183,-26.71
Bakerloo,Edgware Road Bakerloo,410.40,12435.00,112.10,-0.170140125106369,51.5201802474936,-24.87
Central,Notting Hill Gate,283.20,20448.00,58.20,-0.196539232647877,51.5090607971966,-28.12
Northern,Clapham Common,288.00,23465.50,49.10,-0.138317785292283,51.4617315599429,-20.20
Jubilee,Baker Street,270.00,24974.00,44.83,-0.156907053899173,51.5230574802078,-21.15
Circle,Blackfriars,65.70,11782.00,12.90,-0.103604701194793,51.5114887137398,-7.30
