nlc_code,station_name,station_borough,note,weekday_entry,weekday_entry_weight,saturday_entry,saturday_entry_weight,sunday_entry,sunday_entry_weight,weekday_exit,weekday_exit_weight,saturday_exit,satirday_exit_weight,sunday_exit,sunday_exit_weight,line_if_present
663,Notting Hill Gate,Kensington and Chelsea,,23840,253,27150,52,15372,59,22847,253,30427,52,16461,59,
664,Oakwood,Enfield,,4264,253,3630,52,2472,59,4347,253,3547,52,2458,59,
665,Old Street,Islington,,40998,253,25873,52,17251,59,39415,253,28716,52,15976,59,
667,Osterley,Hounslow,,3660,253,2736,52,1991,59,3685,253,2393,52,1826,59,
668,Oval,Lambeth,,11232,253,8216,52,5672,59,10603,253,7177,52,5237,59,
669,Oxford Circus,City of Westminster,,133573,253,119005,52,74755,59,144576,253,132125,52,76519,59,
670,Paddington,City of Westminster,,79872,253,50909,52,46066,59,75883,253,47801,52,40347,59,
671,Park Royal,Ealing,,3442,253,1899,52,1161,59,3222,253,1905,52,1137,59,
672,Parsons Green,Hammersmith and Fulham,,11469,253,7177,52,4297,59,10737,253,6414,52,4132,59,
673,Perivale,Ealing,,3917,253,2608,52,1715,59,3761,253,2455,52,1671,59,
674,Piccadilly Circus,City of Westminster,,60037,253,74203,52,47023,59,57820,253,74315,52,42063,59,
776,Pimlico,City of Westminster,,18980,253,11085,52,8497,59,17316,253,10181,52,8045,59,
675,Pinner,Harrow,,5276,253,2705,52,1643,59,5080,253,2505,52,1632,59,
676,Plaistow,Newham,,11204,253,8899,52,5572,59,10758,253,7518,52,5503,59,
677,Preston Road,Brent,,5626,253,3568,52,2670,59,5304,253,3306,52,2499,59,
678,Putney Bridge,Hammersmith and Fulham,,8947,253,6472,52,4238,59,9257,253,6217,52,4092,59,
680,Queen's Park,Brent,,9627,253,6586,52,4651,59,8538,253,5627,52,4515,59,
679,Queensbury,Brent,,7370,253,4652,52,3216,59,7203,253,4336,52,3071,59,
681,Queensway,City of Westminster,,10680,253,11312,52,8920,59,10822,253,11220,52,8791,59,
682,Ravenscourt Park,Hammersmith and Fulham,,5268,253,3174,52,2074,59,5112,253,2944,52,2074,59,
683,Rayners Lane,Harrow,,7340,253,4425,52,3023,59,7332,253,4152,52,2992,59,
684,Redbridge,Redbridge,,4841,253,3532,52,2402,59,4360,253,2968,52,2152,59,
685,Regent's Park,City of Westminster,,5487,253,2965,52,2175,59,5996,253,3791,52,2655,59,
686,Richmond,Richmond,,13315,253,13506,52,6806,59,12519,253,12206,52,6555,59,
687,Rickmansworth,Three Rivers,,4335,253,1865,52,1143,59,4063,253,1716,52,1092,59,
688,Roding Valley,Epping Forest,,517,253,208,52,110,59,385,253,172,52,105,59,
